time,cpu_freq,hadoop_idx,cpu_idle,sda_idle
20241117005623,1300,767,0.9925,0.0
20241117005624,1300,767,0.9899,0.0
20241117005625,1300,767,0.9875,0.0
20241117005626,1300,767,0.9874,0.032
20241117005627,1300,767,0.99,0.008
20241117005628,1300,767,0.9975,0.0
20241117005629,1300,767,0.9925,0.0
20241117005630,1300,767,0.995,0.0
20241117005631,1300,767,0.985,0.032
20241117005632,1300,767,0.83,0.1
20241117005633,1300,767,0.903,0.028
20241117005634,1300,767,0.995,0.0
20241117005635,1300,767,0.9975,0.0
20241117005636,1300,767,0.9924,0.032
20241117005637,1300,767,0.9077,0.0
20241117005638,1300,767,0.5251,0.008
20241117005639,1300,767,0.3762,0.004
20241117005640,1300,767,0.4426,0.0
20241117005641,1300,767,0.6524,0.032
20241117005642,1300,767,0.2928,0.092
20241117005643,1300,767,0.5721,0.028
20241117005644,1300,767,0.7864,0.0
20241117005645,1300,767,0.9925,0.0
20241117005646,1300,767,0.99,0.0
20241117005647,1300,767,0.9726,0.056
20241117005648,1300,767,0.9899,0.008
20241117005649,1300,767,0.99,0.0
20241117005650,1300,767,0.8034,0.004
20241117005651,1300,767,0.3938,0.004
20241117005652,1300,767,0.432,0.028
20241117005653,1300,767,0.5494,0.0
20241117005654,1300,767,0.3744,0.0
20241117005655,1300,767,0.209,0.0
20241117005656,1300,767,0.8799,0.0
20241117005657,1300,767,0.9526,0.02
20241117005658,1300,767,0.9899,0.004
20241117005659,1300,767,0.9924,0.0
20241117005700,1300,767,0.9874,0.0
20241117005701,1300,767,0.9899,0.0
20241117005702,1300,767,0.9773,0.028
20241117005703,1300,767,0.9774,0.052
20241117005704,1300,767,0.9875,0.0
20241117005705,1300,767,0.9924,0.0
20241117005706,1300,767,0.9949,0.0
20241117005707,1300,767,0.9874,0.02
20241117005708,1300,767,0.9949,0.004
20241117005709,1300,767,0.9949,0.0
20241117005710,1300,767,0.9849,0.0
20241117005711,1300,767,0.9777,0.0
20241117005712,1300,767,0.9749,0.028
20241117005713,1300,767,0.9924,0.0
20241117005714,1300,767,0.9924,0.024
20241117005715,1300,768,0.9949,0.0
