param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,cpu_frequency,run_time,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,run_52,run_53,run_54,run_55,run_56,run_57,run_58,run_59,run_60,run_61,run_62,run_63,run_64,run_65,run_66,run_67,run_68,run_69,run_70,run_71,run_72,run_73,run_74,run_75,run_76,run_77,run_78,run_79,run_80,run_81,run_82,run_83,run_84,run_85,run_86,run_87,run_88,run_89,run_90
20,0.7,170,0.31,0.3,130,FALSE,FALSE,800,246,42,7,4,9,11,6,6,5,11,67,6,3,8,0,2,2,0,4,1,9,6,2,2,1,1,2,0,2,5,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
70,0.7,250,0.64,0.3,710,FALSE,FALSE,800,250,48,6,6,7,11,8,4,5,7,65,6,4,3,2,3,5,3,1,0,7,7,2,2,1,1,2,0,2,0,4,1,0,0,1,0,0,1,0,1,3,2,0,0,0,1,0,0,0,2,0,4,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
50,0.8,260,0.59,0.5,910,FALSE,FALSE,800,241,39,7,4,7,14,7,3,4,7,75,7,2,1,1,6,1,4,2,2,8,5,1,1,0,2,1,2,1,1,3,3,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,0.8,120,1,0.7,230,FALSE,FALSE,800,246,40,7,6,13,15,9,4,5,9,70,6,1,1,3,2,2,1,1,2,13,2,1,0,1,3,1,0,1,1,4,4,1,0,0,2,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
20,0.5,270,0.95,0.3,910,TRUE,FALSE,800,255,52,6,4,6,11,5,5,3,4,81,8,6,1,1,3,4,4,3,0,6,4,1,0,1,1,2,0,0,0,4,3,1,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,1,2,2,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0
50,0.6,160,1,0.9,950,TRUE,FALSE,800,242,48,4,7,6,12,5,2,5,11,62,10,3,1,1,3,2,1,3,3,7,7,2,3,0,1,2,1,1,1,5,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,1,0,0,3,5,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
80,0.7,270,0.93,0.6,460,FALSE,FALSE,800,246,36,7,5,4,17,6,5,3,12,80,8,2,2,1,2,3,1,1,2,7,6,2,1,2,0,2,0,0,4,7,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
70,0.6,240,0.83,0.8,790,TRUE,TRUE,800,255,31,9,5,12,13,7,7,5,8,80,9,0,0,1,5,3,2,1,8,7,3,4,0,1,3,1,1,1,1,6,2,0,0,0,0,1,1,0,0,3,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0
10,0.7,110,0.46,0.9,430,TRUE,TRUE,800,251,56,10,7,9,9,4,5,6,19,38,10,2,2,1,3,1,3,4,5,1,11,0,2,1,0,4,3,0,5,2,3,0,1,0,0,0,4,1,1,2,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
10,0.5,190,0.84,0.3,840,TRUE,FALSE,800,246,46,7,4,10,8,7,4,2,6,68,14,3,1,3,5,0,4,1,2,5,5,2,0,0,0,2,2,2,3,9,3,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
70,0.6,210,0.86,0.6,780,FALSE,TRUE,800,249,44,6,2,8,14,9,1,5,12,67,8,3,2,4,1,1,2,3,2,7,8,1,0,0,2,0,2,1,2,6,6,0,0,1,0,0,0,1,2,3,2,0,0,1,0,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20,0.7,190,0.38,0.6,300,FALSE,TRUE,800,254,49,6,7,9,14,3,6,7,9,57,11,4,1,2,0,3,1,2,3,15,6,1,0,0,0,1,1,1,1,6,4,0,0,1,0,0,0,0,2,1,4,0,1,0,1,0,0,0,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0
20,0.5,190,0.71,0.8,320,TRUE,TRUE,800,248,42,6,5,4,8,6,3,8,9,77,12,1,1,3,4,1,0,0,3,9,5,2,1,0,2,3,1,1,1,6,3,1,1,0,2,0,0,0,0,1,3,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
30,0.6,200,0.67,0.4,130,TRUE,TRUE,800,256,53,2,4,7,5,7,3,6,5,79,8,4,1,4,4,3,1,1,2,7,4,3,1,1,1,0,1,1,1,11,3,0,0,0,0,0,0,0,1,3,2,1,1,0,3,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
20,0.9,280,0.52,0.5,710,TRUE,TRUE,800,256,46,6,5,7,12,8,8,2,7,67,11,1,2,3,2,1,3,4,4,7,5,3,0,0,2,0,1,1,3,10,2,0,0,0,1,0,0,1,2,1,2,0,0,0,0,1,0,0,2,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
30,0.9,200,0.46,0.5,750,TRUE,TRUE,800,248,49,4,4,10,9,5,4,8,12,64,11,1,0,1,7,2,2,1,1,9,6,2,1,0,3,1,0,0,3,4,1,1,0,0,0,0,0,0,0,1,3,2,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0
90,0.5,240,0.41,0.7,820,TRUE,FALSE,800,249,45,4,1,8,12,7,5,4,7,79,4,3,2,1,1,2,3,1,2,7,11,3,0,1,1,1,0,1,3,9,2,0,0,1,3,1,0,0,0,3,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
90,0.5,220,0.75,0.7,670,FALSE,TRUE,800,258,51,5,6,10,11,6,2,7,11,60,4,8,0,3,8,2,2,1,3,11,3,1,1,0,1,1,1,1,5,7,3,0,0,1,0,1,0,0,0,2,3,0,1,1,0,1,0,0,2,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
60,0.8,290,0.57,0.9,390,FALSE,TRUE,800,248,40,9,7,10,7,3,3,5,10,66,11,2,2,3,4,3,2,1,4,8,5,3,1,0,2,2,0,1,6,6,2,0,0,0,0,0,0,0,1,1,2,2,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
70,0.5,220,0.39,0.6,770,FALSE,TRUE,800,246,45,7,4,6,13,5,5,6,8,70,5,2,2,2,5,1,4,1,1,6,6,1,3,0,0,1,1,1,0,6,1,0,0,0,1,2,0,1,3,2,4,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
30,0.5,280,0.44,0.9,940,TRUE,FALSE,800,248,41,7,3,6,16,5,6,3,5,83,8,0,0,2,3,0,3,1,3,7,3,2,1,1,2,1,1,1,2,10,3,0,1,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
90,0.6,100,0.35,0.5,860,TRUE,TRUE,800,250,41,7,8,13,11,4,3,9,8,68,4,4,1,0,4,4,4,2,3,4,6,2,0,0,0,1,1,3,3,7,1,0,1,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,3,2,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
20,0.7,100,0.31,0.8,610,FALSE,FALSE,800,246,42,3,6,5,13,6,1,4,9,78,8,3,2,2,5,5,0,1,3,12,3,2,0,1,0,0,0,0,2,5,3,0,0,0,3,0,1,0,0,5,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0
20,0.8,180,0.98,0.3,1000,FALSE,FALSE,800,247,44,3,4,5,12,4,2,6,11,77,10,4,1,1,5,4,3,2,2,10,4,4,1,1,2,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,3,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
70,0.7,140,0.95,0.9,920,TRUE,FALSE,800,248,43,5,5,13,12,7,4,4,9,69,8,3,2,0,2,3,3,4,4,9,4,1,2,0,0,1,0,0,4,5,2,2,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0.9,270,0.44,0.5,810,TRUE,FALSE,800,254,47,5,6,11,12,10,4,1,10,63,4,2,3,2,5,4,1,2,3,10,5,0,2,1,1,1,1,1,2,9,3,1,0,0,1,1,0,1,1,2,2,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0
80,0.9,300,0.53,0.5,170,FALSE,FALSE,800,257,34,7,4,13,18,9,3,5,16,74,6,2,6,2,2,2,4,3,3,7,3,3,1,0,1,0,1,2,3,2,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0
60,0.5,280,0.65,0.8,380,TRUE,FALSE,800,245,46,5,4,5,11,7,3,5,9,75,13,2,0,0,1,3,2,2,0,9,4,3,1,0,2,1,1,0,1,6,4,0,0,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,0.8,220,0.59,0.8,930,FALSE,FALSE,800,247,46,5,3,9,17,5,2,3,10,70,7,6,1,0,1,0,4,3,4,9,9,1,2,1,1,1,1,0,1,7,1,0,1,0,1,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
100,0.5,270,0.62,0.5,390,TRUE,TRUE,800,261,44,8,6,9,13,5,6,7,7,71,5,4,1,6,5,4,1,3,4,7,7,2,1,0,1,1,0,0,1,8,0,0,0,0,1,1,1,0,1,1,4,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
90,0.6,270,0.74,0.9,930,TRUE,TRUE,800,251,50,3,6,6,12,6,3,5,10,70,6,2,3,2,4,4,1,5,2,8,4,4,1,0,0,2,1,1,2,4,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0
70,0.7,190,0.59,0.7,410,TRUE,TRUE,800,251,44,2,6,12,12,3,4,7,11,65,12,4,2,2,3,3,3,2,1,9,6,1,1,1,2,0,0,0,1,2,2,0,1,0,0,0,1,1,1,4,2,0,0,0,1,0,0,1,1,1,2,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
80,0.5,220,0.34,0.4,550,TRUE,FALSE,800,248,42,3,5,8,15,7,5,3,8,71,6,2,3,4,2,2,1,5,2,8,7,0,3,0,2,0,1,2,2,9,2,0,0,0,0,1,0,0,0,1,2,0,1,1,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
