time,cpu_frequency,cpu_usage,sda_usage
20241108040154,1000,0.9899,0.0
20241108040551,1000,0.9599,0.0
20241108040705,1000,0.9776,0.0
20241108041103,1000,0.9598,0.036
20241108041217,1000,0.9899,0.0
20241108041619,1000,0.9551,0.0
20241108041733,1000,0.985,0.0
20241108042128,1000,0.9899,0.0
20241108042243,1000,0.9825,0.0
20241108042644,1000,0.9924,0.0
20241108042758,1000,0.9949,0.004
20241108043149,1000,0.9924,0.004
20241108043304,1000,0.9899,0.0
20241108043658,1000,0.9873,0.0
20241108043812,1000,0.9899,0.0
20241108044212,1000,0.9747,0.0
20241108044327,1000,0.9949,0.0
20241108044729,1000,0.8975,0.052
20241108044843,1000,0.985,0.0
20241108045245,1000,0.94,0.04
20241108045400,1000,0.9924,0.0
20241108045758,1000,0.9975,0.004
20241108045913,1000,0.9924,0.0
20241108050311,1000,0.947,0.004
20241108050426,1000,0.9899,0.0
20241108050824,1000,0.8431,0.076
20241108050939,1000,0.706,0.0
20241108051341,1000,0.9949,0.0
20241108051455,1000,0.9924,0.0
20241108051855,1000,0.8769,0.056
20241108052009,1000,0.9924,0.0
20241108052404,1000,0.9899,0.004
20241108052519,1000,0.9924,0.0
20241108052925,1000,0.9597,0.036
20241108053039,1000,0.9924,0.004
20241108053434,1000,0.8947,0.072
20241108053548,1000,0.9899,0.0
20241108053948,1000,0.7838,0.192
20241108054102,1000,0.9899,0.0
20241108054454,1000,0.9547,0.032
20241108054608,1000,0.9874,0.004
20241108055004,1000,0.8093,0.048
20241108055118,1000,0.9825,0.0
20241108055510,1000,0.8153,0.084
20241108055624,1000,0.985,0.004
20241108060021,1000,0.8975,0.076
20241108060136,1000,0.9924,0.0
20241108060531,1000,0.8108,0.056
20241108060645,1000,0.9924,0.0
20241108061046,1000,0.8079,0.064
20241108061200,1000,0.9874,0.0
20241108061610,1000,0.9825,0.0
20241108061725,1000,0.9924,0.0
20241108062122,1000,0.9824,0.04
20241108062237,1000,0.9875,0.0
20241108062635,1000,0.9598,0.0158
20241108062750,1000,0.9825,0.0
20241108063145,1000,0.9773,0.0
20241108063300,1000,0.9899,0.004
20241108063656,1000,0.9924,0.0
20241108063811,1000,0.9774,0.0
20241108064210,1000,0.9597,0.0
20241108064324,1000,0.9924,0.0
20241108064724,1000,0.9949,0.0
20241108064838,1000,0.9874,0.0
20241108065231,1000,0.9924,0.0
20241108065346,1000,0.9874,0.0
20241108065747,1000,0.985,0.0
20241108065901,1000,0.985,0.0
20241108070258,1000,0.9899,0.0
20241108070413,1000,0.985,0.0
20241108070814,1000,0.9596,0.036
20241108070928,1000,0.985,0.0
