time,cpu_frequency,cpu_usage,sda_usage
20241108065901,1000,0.9556,0.0
20241108070258,1000,0.9796,0.012
20241108070413,1000,0.9378,0.0
20241108070814,1000,0.9446,0.008
20241108070928,1000,0.9699,0.0
20241108071323,1000,0.908,0.0158
20241108071437,1000,0.9797,0.0
20241108071836,1000,0.9102,0.012
20241108071950,1000,0.9495,0.0
20241108072349,1000,0.8998,0.008
20241108072503,1000,0.9748,0.0
20241108072902,1000,0.9442,0.012
20241108073016,1000,0.9674,0.004
20241108073413,1000,0.7264,0.02
20241108073527,1000,0.9671,0.0
20241108073932,1000,0.7731,0.02
20241108074046,1000,0.9447,0.004
20241108074447,1000,0.8719,0.016
20241108074602,1000,0.8519,0.004
20241108074957,1000,0.9322,0.012
20241108075112,1000,0.9468,0.004
20241108075515,1000,0.9173,0.012
20241108075629,1000,0.9697,0.0
20241108080026,1000,0.9618,0.008
20241108080141,1000,0.93,0.012
20241108080540,1000,0.823,0.024
20241108080655,1000,0.8731,0.004
20241108081051,1000,0.7475,0.02
20241108081205,1000,0.885,0.008
20241108081605,1000,0.7295,0.008
20241108081719,1000,0.9062,0.0
20241108082122,1000,0.7082,0.02
20241108082237,1000,0.81,0.012
20241108082636,1000,0.7351,0.02
20241108082750,1000,0.9038,0.004
20241108083148,1000,0.7228,0.012
20241108083302,1000,0.9259,0.0
20241108083703,1000,0.8625,0.016
20241108083818,1000,0.6691,0.008
20241108084212,1000,0.7132,0.028
20241108084326,1000,0.9215,0.004
20241108084729,1000,0.9073,0.016
20241108084844,1000,0.8279,0.012
20241108085250,1000,0.735,0.012
20241108085405,1000,0.6683,0.012
20241108085759,1000,0.809,0.024
20241108085914,1000,0.8536,0.004
20241108090309,1000,0.7569,0.004
20241108090424,1000,0.5902,0.008
20241108090819,1000,0.7556,0.02
20241108090933,1000,0.9073,0.004
20241108091325,1000,0.8942,0.024
20241108091445,1100,0.9723,0.0
20241108091832,1100,0.9646,0.004
20241108091947,1100,0.9518,0.004
20241108092342,1100,0.905,0.016
20241108092456,1100,0.9598,0.0
20241108092842,1100,0.9772,0.012
20241108092957,1100,0.8953,0.008
20241108093349,1100,0.9797,0.008
20241108093503,1100,0.9797,0.004
20241108093853,1100,0.972,0.016
20241108094008,1100,0.8417,0.004
20241108094350,1100,0.9421,0.012
20241108094505,1100,0.931,0.0
20241108094849,1100,0.9847,0.008
20241108095003,1100,0.9531,0.004
20241108095351,1100,0.7875,0.024
20241108095505,1100,0.9545,0.004
20241108095849,1100,0.8703,0.012
20241108100003,1100,0.9523,0.0
20241108100346,1100,0.9696,0.004
20241108100501,1100,0.903,0.004
20241108100843,1100,0.9596,0.008
20241108100957,1100,0.9723,0.0
20241108101350,1100,0.8588,0.016
20241108101504,1100,0.9772,0.0
20241108101847,1100,0.8847,0.016
20241108102001,1100,0.9153,0.0
20241108102347,1100,0.7772,0.008
20241108102501,1100,0.9447,0.0
20241108102850,1100,0.9372,0.024
20241108103005,1100,0.7476,0.012
20241108103350,1100,0.908,0.024
20241108103504,1100,0.9419,0.0
20241108103852,1100,0.6953,0.024
20241108104006,1100,0.8903,0.008
20241108104349,1100,0.8284,0.016
20241108104503,1100,0.9318,0.0
20241108104851,1100,0.9495,0.036
20241108105006,1100,0.7707,0.012
20241108105355,1100,0.7581,0.012
20241108105509,1100,0.9118,0.0
20241108105905,1100,0.79,0.028
20241108110020,1100,0.6452,0.012
20241108110406,1100,0.9543,0.02
20241108110521,1100,0.8847,0.004
20241108110911,1100,0.8271,0.028
20241108111025,1100,0.9499,0.0
20241108111405,1100,0.9543,0.024
20241108111519,1100,0.9545,0.0
20241108111856,1100,0.9497,0.012
20241108112011,1100,0.6733,0.008
20241108112400,1100,0.7382,0.028
20241108112514,1100,0.885,0.008
20241108112902,1100,0.8722,0.024
20241108113016,1100,0.9289,0.0
20241108113407,1100,0.7293,0.004
20241108113521,1100,0.86,0.008
20241108113906,1100,0.9273,0.02
20241108114021,1100,0.602,0.012
20241108114408,1100,0.6625,0.016
20241108114522,1100,0.5301,0.008
20241108114907,1100,0.7569,0.004
20241108115021,1100,0.7731,0.012
20241108115408,1100,0.9192,0.008
20241108115522,1100,0.903,0.004
20241108115906,1100,0.7402,0.012
20241108120020,1100,0.9725,0.004
20241108120413,1100,0.92,0.016
20241108120528,1100,0.9394,0.004
20241108120915,1100,0.9171,0.02
20241108121029,1100,0.9773,0.0
20241108121418,1100,0.9724,0.004
20241108121533,1100,0.9219,0.004
20241108121922,1100,0.9646,0.004
20241108122037,1100,0.9697,0.0
20241108122426,1100,0.9109,0.028
20241108122541,1100,0.8872,0.012
20241108122927,1100,0.9194,0.008
20241108123041,1100,0.9797,0.0
20241108123429,1100,0.9822,0.008
20241108123544,1100,0.9199,0.0
20241108123929,1100,0.866,0.012
20241108124043,1100,0.9648,0.0
20241108124436,1100,0.79,0.024
20241108124550,1100,0.9623,0.0
20241108124934,1100,0.8866,0.016
20241108125048,1100,0.9342,0.004
20241108125437,1100,0.7947,0.012
20241108125551,1100,0.9822,0.0
20241108125945,1100,0.9596,0.012
20241108130100,1100,0.908,0.004
20241108130447,1100,0.8665,0.016
20241108130601,1100,0.9648,0.0
20241108130941,1100,0.9572,0.004
20241108131056,1100,0.9048,0.008
20241108131445,1100,0.9263,0.016
20241108131600,1100,0.8144,0.012
20241108131949,1100,0.7882,0.024
20241108132103,1100,0.7543,0.008
20241108132447,1100,0.9173,0.012
20241108132602,1100,0.7196,0.016
20241108132945,1100,0.9268,0.008
20241108133059,1100,0.9521,0.008
20241108133443,1100,0.9057,0.012
20241108133558,1100,0.7114,0.004
20241108133953,1100,0.893,0.016
20241108134107,1100,0.962,0.0
20241108134457,1100,0.7964,0.016
20241108134611,1100,0.9369,0.0
20241108134957,1100,0.8458,0.024
20241108135111,1100,0.9617,0.0
20241108135503,1100,0.7772,0.016
20241108135618,1100,0.6364,0.008
20241108140008,1100,0.8321,0.024
20241108140122,1100,0.9545,0.0
20241108140511,1100,0.7136,0.012
20241108140625,1100,0.8675,0.008
20241108141011,1100,0.7305,0.016
20241108141125,1100,0.65,0.008
20241108141510,1100,0.715,0.0
20241108141624,1100,0.7825,0.012
20241108142014,1100,0.8819,0.016
20241108142129,1100,0.6364,0.008
20241108142513,1100,0.7053,0.0
20241108142627,1100,0.7574,0.02
20241108143010,1100,0.8212,0.012
20241108143125,1100,0.5971,0.012
20241108143512,1100,0.6825,0.012
20241108143626,1100,0.7407,0.016
20241108144013,1100,0.8442,0.016
20241108144128,1100,0.7704,0.012
20241108144514,1100,0.7143,0.004
20241108144628,1100,0.9545,0.0
20241108145006,1100,0.9666,0.016
20241108145120,1100,0.9848,0.0
20241108145501,1100,0.9077,0.02
20241108145615,1100,0.9547,0.0
20241108150003,1100,0.9322,0.012
20241108150118,1100,0.957,0.0
20241108150512,1100,0.9521,0.016
20241108150626,1100,0.9724,0.0
20241108151019,1100,0.8889,0.028
20241108151133,1100,0.962,0.0
20241108151516,1100,0.945,0.004
20241108151631,1100,0.9618,0.0
20241108152016,1100,0.9698,0.004
20241108152131,1100,0.9439,0.0
20241108152529,1100,0.9544,0.008
20241108152643,1100,0.9747,0.0
20241108153031,1100,0.9494,0.016
20241108153145,1100,0.9571,0.0
20241108153530,1100,0.9148,0.016
20241108153644,1100,0.9468,0.0
20241108154040,1100,0.9773,0.004
20241108154154,1100,0.9749,0.0
20241108154540,1100,0.9229,0.012
20241108154654,1100,0.9521,0.0
20241108155036,1100,0.9521,0.02
20241108155150,1100,0.9748,0.0
20241108155537,1100,0.9221,0.016
20241108155651,1100,0.9722,0.0
20241108160040,1100,0.8647,0.024
20241108160154,1100,0.9257,0.0
20241108160542,1100,0.8258,0.024
20241108160656,1100,0.8981,0.0
20241108161042,1100,0.8076,0.012
20241108161156,1100,0.952,0.0
20241108161555,1100,0.7525,0.012
20241108161709,1100,0.8753,0.008
20241108162052,1100,0.9148,0.008
20241108162206,1100,0.9449,0.0
20241108162551,1100,0.9221,0.012
20241108162706,1100,0.9215,0.004
20241108163108,1100,0.7608,0.008
20241108163222,1100,0.8872,0.004
20241108163618,1100,0.7663,0.02
20241108163732,1100,0.9425,0.0
20241108164122,1100,0.9148,0.028
20241108164237,1100,0.7891,0.004
20241108164629,1100,0.7513,0.02
20241108164743,1100,0.7818,0.012
20241108165123,1100,0.8775,0.012
20241108165238,1100,0.694,0.012
20241108165619,1100,0.8463,0.016
20241108165733,1100,0.9475,0.0
20241108170117,1100,0.7665,0.016
20241108170231,1100,0.9418,0.004
20241108170629,1100,0.7662,0.028
20241108170743,1100,0.9471,0.0
20241108171127,1100,0.8631,0.02
20241108171241,1100,0.9497,0.0
20241108171635,1100,0.8642,0.016
20241108171750,1100,0.8074,0.008
20241108172143,1100,0.7221,0.012
20241108172257,1100,0.8911,0.004
20241108172641,1100,0.7395,0.004
20241108172755,1100,0.701,0.008
20241108173143,1100,0.7469,0.016
20241108173257,1100,0.7611,0.012
20241108173653,1100,0.8925,0.012
20241108173813,1300,0.9873,0.004
20241108174137,1300,0.9471,0.028
20241108174250,1300,0.9873,0.0
20241108174616,1300,0.952,0.016
20241108174730,1300,0.9352,0.0
20241108175104,1300,0.9146,0.016
20241108175218,1300,0.9474,0.008
20241108175540,1300,0.9646,0.012
20241108175654,1300,0.9369,0.004
20241108180022,1300,0.8956,0.012
20241108180136,1300,0.9392,0.004
20241108180458,1300,0.8465,0.02
20241108180611,1300,0.9822,0.0
20241108180936,1300,0.9275,0.016
20241108181050,1300,0.9425,0.0
20241108181413,1300,0.9318,0.024
20241108181527,1300,0.9497,0.0
20241108181900,1300,0.9543,0.032
20241108182014,1300,0.9497,0.004
20241108182337,1300,0.8741,0.012
20241108182451,1300,0.8872,0.008
20241108182815,1300,0.9298,0.008
20241108182929,1300,0.9196,0.012
20241108183256,1300,0.9275,0.012
20241108183410,1300,0.9275,0.0
20241108183735,1300,0.927,0.02
20241108183849,1300,0.8529,0.004
20241108184209,1300,0.812,0.012
20241108184322,1300,0.9747,0.0
20241108184652,1300,0.9523,0.0119
20241108184806,1300,0.9497,0.0
20241108185131,1300,0.8254,0.028
20241108185244,1300,0.9773,0.0
20241108185615,1300,0.7506,0.012
20241108185729,1300,0.8589,0.008
20241108190052,1300,0.8785,0.012
20241108190206,1300,0.769,0.012
20241108190532,1300,0.7519,0.008
20241108190646,1300,0.9025,0.008
20241108191012,1300,0.9495,0.016
20241108191126,1300,0.9061,0.008
20241108191500,1300,0.813,0.02
20241108191614,1300,0.8965,0.008
20241108191941,1300,0.7859,0.016
20241108192055,1300,0.8793,0.008
20241108192419,1300,0.807,0.012
20241108192533,1300,0.8554,0.004
20241108192853,1300,0.7811,0.028
20241108193007,1300,0.8997,0.012
20241108193338,1300,0.7581,0.016
20241108193452,1300,0.8425,0.016
20241108193814,1300,0.7927,0.012
20241108193928,1300,0.6575,0.012
20241108194258,1300,0.6823,0.012
20241108194412,1300,0.6872,0.008
20241108194734,1300,0.875,0.024
20241108194848,1300,0.88,0.004
20241108195214,1300,0.745,0.004
20241108195328,1300,0.6667,0.008
20241108195703,1300,0.7719,0.012
20241108195817,1300,0.6993,0.004
20241108200143,1300,0.7728,0.024
