param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,cpu_frequency,run_time,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,run_52,run_53,run_54,run_55,run_56,run_57,run_58,run_59,run_60,run_61,run_62,run_63,run_64,run_65,run_66,run_67,run_68,run_69,run_70,run_71,run_72,run_73,run_74,run_75,run_76,run_77,run_78,run_79,run_80,run_81,run_82,run_83,run_84,run_85,run_86,run_87,run_88,run_89,run_90
30,0.8,120,1,0.7,230,FALSE,FALSE,800,246,45,3,8,13,9,7,4,7,3,78,3,1,0,1,1,1,0,0,0,0,8,0,2,3,0,1,0,0,0,4,5,0,1,0,3,1,1,0,1,14,2,0,0,0,2,1,0,0,1,4,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
20,0.5,270,0.95,0.3,910,TRUE,FALSE,800,255,39,4,6,10,12,7,2,5,7,91,3,1,0,0,2,0,0,2,0,1,3,0,3,2,1,0,0,1,1,13,8,1,1,3,1,2,0,1,1,8,0,1,0,2,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
50,0.6,160,1,0.9,950,TRUE,FALSE,800,242,39,4,7,5,7,6,2,3,6,90,4,2,0,2,0,0,0,1,0,1,3,0,0,0,2,0,0,0,0,6,9,1,3,1,0,1,0,1,1,16,2,0,0,1,1,0,0,1,0,1,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1
80,0.7,270,0.93,0.6,460,FALSE,FALSE,800,246,49,2,5,9,9,6,2,3,6,87,6,0,0,1,0,0,0,0,0,0,4,1,1,0,3,0,0,0,0,6,8,0,1,3,0,1,0,0,2,13,5,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
70,0.6,240,0.83,0.8,790,TRUE,TRUE,800,255,54,4,3,8,5,6,3,3,8,93,4,2,0,0,0,1,0,0,0,0,3,0,0,0,2,1,0,1,1,3,12,1,0,0,0,2,1,0,0,16,3,0,0,0,1,0,1,0,0,4,0,0,0,0,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,0.7,110,0.46,0.9,430,TRUE,TRUE,800,251,48,6,6,6,13,7,2,2,5,95,7,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,5,1,0,0,0,0,1,1,1,13,7,1,0,0,2,0,1,1,1,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10,0.5,190,0.84,0.3,840,TRUE,FALSE,800,246,32,5,10,14,14,7,2,5,10,86,3,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,7,5,0,1,0,3,1,1,1,2,10,3,0,0,1,0,0,0,0,1,4,0,1,0,0,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2
70,0.6,210,0.86,0.6,780,FALSE,TRUE,800,249,50,0,4,10,6,4,0,2,5,97,5,0,0,0,6,1,0,0,1,0,4,0,0,0,1,1,1,1,1,9,6,0,0,0,2,1,0,1,0,10,1,1,1,2,1,0,0,0,0,2,3,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
20,0.7,190,0.38,0.6,300,FALSE,TRUE,800,254,46,2,3,10,6,4,2,1,3,103,5,0,2,0,2,0,1,0,0,1,6,0,3,1,1,0,0,2,1,13,8,0,1,2,1,1,1,0,1,7,1,0,1,0,0,0,0,0,0,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
20,0.5,190,0.71,0.8,320,TRUE,TRUE,800,248,48,0,3,10,10,2,1,0,4,99,7,0,2,2,1,0,0,1,0,2,5,1,3,0,1,1,2,0,1,11,8,0,0,0,0,2,0,0,0,6,1,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
30,0.6,200,0.67,0.4,130,TRUE,TRUE,800,256,40,3,8,16,13,4,5,6,6,89,2,0,0,1,1,0,0,0,0,2,3,1,0,0,1,1,0,0,0,6,8,0,0,2,1,1,2,1,2,14,4,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,0.9,280,0.52,0.5,710,TRUE,TRUE,800,256,52,6,5,11,12,4,3,4,9,82,5,0,1,0,1,1,0,0,0,0,6,0,1,0,1,0,0,1,0,6,3,1,1,0,3,3,0,2,1,9,5,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0
30,0.9,200,0.46,0.5,750,TRUE,TRUE,800,248,45,2,3,8,6,4,5,2,5,96,3,1,0,1,3,2,0,0,0,2,3,0,0,0,0,0,1,0,2,12,7,0,0,1,1,1,0,2,1,10,4,1,1,0,1,1,0,0,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
90,0.5,240,0.41,0.7,820,TRUE,FALSE,800,249,44,3,4,11,9,4,3,3,5,93,3,2,2,1,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,7,7,0,0,1,0,1,1,1,1,11,1,0,1,2,2,0,1,1,0,2,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1
90,0.5,220,0.75,0.7,670,FALSE,TRUE,800,258,49,5,4,12,9,6,2,3,6,96,4,0,1,0,0,1,0,0,1,1,2,0,0,1,0,0,1,0,0,1,4,2,0,0,1,1,2,0,2,13,6,0,0,1,2,0,0,1,0,1,2,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1
60,0.8,290,0.57,0.9,390,FALSE,TRUE,800,248,41,1,6,12,11,7,3,5,1,95,2,1,1,1,0,1,0,0,1,2,2,0,0,1,1,1,0,1,0,9,10,2,0,1,1,1,0,0,3,8,1,0,1,2,1,1,1,0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70,0.5,220,0.39,0.6,770,FALSE,TRUE,800,246,41,5,8,11,9,4,5,2,5,79,6,0,2,2,2,0,0,1,0,1,4,2,0,1,1,1,0,0,0,9,8,1,0,0,1,3,0,3,1,9,4,0,0,1,0,0,0,1,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
